工作ID,工作名,公司名,公司Url,公司Logo,公司类型,城市,学历要求,薪资,福利,招聘人数,工作亮点,职位描述,技能要求
CC485865134J00275670002,大数据开发工程师,南京展释信息科技有限公司,https://company.zhaopin.com/CZ485865130.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,武汉-东西湖区,本科,7K-8K,"['五险一金', '周末双休']",,[''],,['']

CC875193170J00172324613,大数据分析实习,青岛乾璟昶盛信息服务有限公司,https://company.zhaopin.com/CZ875193170.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/80ba1fb552e644eefc9af3e85f4f18b5.jpg,民营,青岛-市北区（新行政区）,大专,6K-8K,"['五险一金', '年底双薪', '绩效奖金', '包住', '全勤奖']",,[''],,['']

CC711040180J00151260915,大数据初级工程师助理,青岛青一融创旅游文化管理有限公司,https://company.zhaopin.com/CZ711040180.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/f6fa7361672a7d6f5137c7d5223c2e95.jpg,民营,青岛-市北区（新行政区）,大专,6K-8K,"['五险一金', '绩效奖金', '全勤奖', '包住', '股票期权']",,[''],,['']

CC557571422J00289113707,贝壳即将上市贝壳找房互联网大数据时代,陕西链家高策房地产经纪有限公司,http://special.zhaopin.com/xa/2015/gcfdc063050,https://fileihr.zhaopin.com/055/757/055757142/logo/5ed6d498-8378-40dd-baea-e4af2e9ed367.jpg,民营,西安,大专,10K-15K,"['五险一金', '绩效奖金', '员工旅游', '年底双薪', '全勤奖']",,[''],,['']

CC883747320J00153563314,鹰眼智客大数据计算机软件产品经理,河南简奥网络科技有限公司,https://company.zhaopin.com/CZ883747320.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/bc80be06efc301c152424d2653481ec0.png,民营,郑州,中专,10K-15K,"['五险一金', '绩效奖金', '全勤奖', '房补', '节日福利']",,[''],,['']

CC405623980J00294943207,大数据开发工程师,上海乐言信息科技有限公司,https://company.zhaopin.com/CZ405623980.htm,https://fileihr.zhaopin.com/040/562/040562398/logo/a35ec05b-d531-4595-8ac0-3f167e574b4c.png,民营,上海-徐汇区,本科,10K-20K,[],,[''],,['']

CC711040180J00151261215,大数据ETL实习生,青岛青一融创旅游文化管理有限公司,https://company.zhaopin.com/CZ711040180.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/f6fa7361672a7d6f5137c7d5223c2e95.jpg,民营,青岛-市北区（新行政区）,大专,6K-8K,"['五险一金', '绩效奖金', '全勤奖', '包住', '股票期权']",,[''],,['']

CZ840762650J00099462709,4K急java大数据助理,沈阳天诚极米科技有限公司,https://company.zhaopin.com/CZ840762650.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,股份制企业,沈阳,中专,3K-4.5K,"['五险一金', '全勤奖', '年底双薪', '包吃', '包住']",,[''],,['']

CC848285020J00139950312,大数据采集专员,中国平安人寿保险股份有限公司沈阳电话销售中心营销事业部,https://company.zhaopin.com/CZ848285020.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,合资,沈阳,大专,6K-8K,"['五险一金', '带薪年假', '全勤奖', '不加班', '节日福利']",,[''],,['']

CC839348280J00151424314,大数据人工智能助理,沈阳探梦科技有限公司,https://company.zhaopin.com/CZ839348280.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,沈阳-大东区,学历不限,4K-6K,"['五险一金', '全勤奖', '通讯补助', '包吃', '包住']",,[''],,['']

CC453707338J00174518511,大数据负责人,北京屹文惠科技有限公司,https://company.zhaopin.com/CZ453707330.htm,http://company.zhaopin.com/CompanyLogo/20180202/036FB9B3803D4D48A2B1BBB8EA9913E6.jpg,民营,北京,本科,25K-50K,"['每年多次调薪', '周末双休', '加班补助', '弹性工作', '定期体检']",,[''],,['']

CC484131930J00231815302,大数据/平台开发工程师,广东尚源信息技术有限公司,https://company.zhaopin.com/CZ484131930.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,佛山,学历不限,10K-15K,[],,[''],,['']

CC187952314J00158376109,大数据售前工程师,北京斯普信信息技术有限公司,http://special.zhaopin.com/pagepublish/18795231/index.html,http://campusimage.zhaopin.com/pic/cimg/Company/A//203456540974_100x100.png,民营,北京-海淀区,本科,10K-18K,"['五险一金', '带薪年假', '节日福利', '定期体检', '周末双休']",,[''],,['']

CC526196282J90250177000,软件测试工程师-大数据平台应届生,深圳卓维信息技术有限公司西安分公司,http://special.zhaopin.com/pagepublish/52619628/index.html,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/3f763a943c3bb738c5377cf094ce742c.jpg,上市公司,西安,大专,4K-6K,"['五险一金', '年底双薪', '绩效奖金', '加班补助', '全勤奖']",,[''],,['']

CZ840762650J00099453609,大数据人工智能助理3500,沈阳天诚极米科技有限公司,https://company.zhaopin.com/CZ840762650.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,股份制企业,沈阳,中专,3.5K-4.5K,"['五险一金', '全勤奖', '年底双薪', '包吃', '包住']",,[''],,['']

CC405623980J00294967507,大数据架构师,上海乐言信息科技有限公司,https://company.zhaopin.com/CZ405623980.htm,https://fileihr.zhaopin.com/040/562/040562398/logo/a35ec05b-d531-4595-8ac0-3f167e574b4c.png,民营,上海-徐汇区,本科,30K-60K,[],,[''],,['']

CC855789280J00133095110,大数据人工智能助理,沈阳风行创想网络科技技术有限公司,https://company.zhaopin.com/CZ855789280.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,沈阳,学历不限,3K-4.5K,"['五险一金', '全勤奖', '包吃', '包住', '绩效奖金']",,[''],,['']

CZ811153960J00228852005,信息技术部/大数据管理  ,厦门市民数据服务股份有限公司,https://company.zhaopin.com/CZ811153960.htm,https://fileihr.zhaopin.com/081/115/081115396/logo/5def3a35-c42f-4530-8527-440412bdbb4d.png,国企,厦门,本科,8K-10K,"['五险一金', '绩效奖金', '节日福利', '周末双休']",,[''],,['']

CZ810209490J00067736511,大数据软件开发工程师0基础,河北鹿宸网络科技有限公司,https://company.zhaopin.com/CZ810209490.htm,https://fileihr.zhaopin.com/081/020/081020949/logo/835d195f-0d72-4659-827a-40841c1e5bc0.jpg,民营,邯郸,大专,8K-10K,"['14薪', '每年多次调薪', '周末双休', '五险一金', '年底双薪']",,[''],,['']

CC696736080J00160772013,大数据分析助理,沈阳多码斯信息技术有限公司,https://company.zhaopin.com/CZ696736080.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,沈阳,大专,2K-4K,"['五险一金', '通讯补助', '弹性工作', '周末双休', '定期团建']",,[''],,['']

CC120187407J00152874515,大数据架构师,北京奥鹏远程教育中心有限公司,http://special.zhaopin.com/pagepublish/12018740/index.html,http://campusimage.zhaopin.com/pic/cimg/Company/A//108594935944_100x100.jpg,合资,北京,本科,30K-50K,"['五险一金', '年底双薪', '绩效奖金', '餐补', '带薪年假']",,[''],,['']

CC842810150J00259260908,IT课程顾问 网销 （人工智能  大数据）,上海沁华广告策划有限公司,https://company.zhaopin.com/CZ842810150.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,上海,中技,8K-10K,"['五险一金', '全勤奖', '带薪年假', '弹性工作', '节日福利']",,[''],,['']

CC307747888J00289093808,大数据开发工程师,上海玺智汽车租赁有限公司,https://company.zhaopin.com/CZ307747880.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,合资,上海-松江区,大专,25K-35K,"['五险一金', '绩效奖金', '餐补']",,[''],,['']

CC633075980J00361499907,大数据产品经理,蜘点商业网络服务有限公司,https://company.zhaopin.com/CZ633075980.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/8723ef6fd5f8f1f2e26351f46ef28fee.png,民营,广州,本科,20K-40K,"['员工旅游', '节日福利', '带薪年假', '股票期权', '全勤奖']",,[''],,['']

CZ840762650J00099686609,大数据人工智能助理,沈阳天诚极米科技有限公司,https://company.zhaopin.com/CZ840762650.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,股份制企业,沈阳,中专,3K-4.5K,"['五险一金', '全勤奖', '年底双薪', '包吃', '包住']",,[''],,['']

CC637817023J00151418414,Java大数据平台资深开发工程师,北京瀚思安信科技有限公司,https://company.zhaopin.com/CZ637817020.htm,http://company.zhaopin.com/CompanyLogo/20151105/E9333B0A520640A5BAB7EA2699612EBF.jpg,民营,成都,本科,15K-30K,"['五险一金', '年底双薪', '餐补', '带薪年假', '弹性工作']",,[''],,['']

CC711040180J00151262215,大数据客服专员,青岛青一融创旅游文化管理有限公司,https://company.zhaopin.com/CZ711040180.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/f6fa7361672a7d6f5137c7d5223c2e95.jpg,民营,青岛-市北区（新行政区）,大专,4K-6K,"['五险一金', '绩效奖金', '全勤奖', '包住', '股票期权']",,[''],,['']

CC537130328J00190370111,海洋大数据产品经理,山东易华录信息技术有限公司,https://company.zhaopin.com/CZ537130320.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,上市公司,青岛,本科,8K-15K,"['周末双休', '年底双薪', '绩效奖金', '通讯补助', '节日福利']",,[''],,['']

CC187965628J00101538210,大数据研发经理,北京八维研修学院,http://special.zhaopin.com/pagepublish/18796562/index.html,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,北京-海淀区,大专,25K-50K,"['节日福利', '五险一金', '绩效奖金', '餐补', '房补']",,[''],,['']

CZ698409830J00278077908,大数据人工智能助理,沈阳远信华通科技有限公司,https://company.zhaopin.com/CZ698409830.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,上市公司,沈阳-浑南区,学历不限,4K-6K,"['包住', '包吃', '周末双休', '14薪', '五险一金']",,[''],,['']

CC434479518J00148359415,工程造价咨询、大数据（BIM）咨询、招标代理、工程全过程咨询,青岛市工程咨询院,http://special.zhaopin.com/pagepublish/43447951/index.html,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,事业单位,青岛,本科,5K-10K,"['五险一金', '年底双薪', '绩效奖金', '餐补', '定期体检']",,[''],,['']

CC291735619J00205352602,大数据开发工程师,广东万和新电气股份有限公司,https://company.zhaopin.com/CZ291735610.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/e996e8372154e8b943e382094eb5c8c4.png,股份制企业,佛山-顺德区,本科,10K-20K,"['五险一金', '绩效奖金', '包吃', '餐补', '交通补助']",,[''],,['']

CC537130328J00190370011,海洋大数据产品经理,山东易华录信息技术有限公司,https://company.zhaopin.com/CZ537130320.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,上市公司,济南,本科,8K-15K,"['周末双休', '年底双薪', '绩效奖金', '通讯补助', '节日福利']",,[''],,['']

CC483822336J00064960613,统计分析实习生/助理分析师-百度大数据,大连中科云信息技术有限公司,https://company.zhaopin.com/CZ483822330.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,上市公司,大连-沙河口区,中专,4K-6K,"['五险一金', '补充医疗保险', '定期体检', '绩效奖金', '交通补助']",,[''],,['']

CC162992620J00159394809,大数据开发工程师,北京清易德科技有限公司,https://company.zhaopin.com/CZ162992620.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,西安-碑林区,本科,15K-30K,"['五险一金', '周末双休', '定期体检', '项目奖金', '节日福利']",,[''],,['']

CC839348280J00118812114,大数据能助理五险年底双薪,沈阳探梦科技有限公司,https://company.zhaopin.com/CZ839348280.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,沈阳-皇姑区,学历不限,3K-5K,"['五险一金', '全勤奖', '通讯补助', '包吃', '包住']",,[''],,['']

CC875193170J00172819013,大数据分析,青岛乾璟昶盛信息服务有限公司,https://company.zhaopin.com/CZ875193170.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/80ba1fb552e644eefc9af3e85f4f18b5.jpg,民营,青岛-市北区（新行政区）,大专,4K-6K,"['五险一金', '绩效奖金', '全勤奖', '包住', '带薪年假']",,[''],,['']

CC875193170J00172529113,JAVA开发转大数据分析实习生,青岛乾璟昶盛信息服务有限公司,https://company.zhaopin.com/CZ875193170.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/80ba1fb552e644eefc9af3e85f4f18b5.jpg,民营,青岛,大专,6K-8K,"['五险一金', '全勤奖', '包住', '绩效奖金', '节日福利']",,[''],,['']

CC000559060J00344396003,安全大数据分析工程师,上海欣方智能系统有限公司,http://special.zhaopin.com/pagepublish/55906/index.html,http://company.zhaopin.com/CompanyLogo/20151130/7FDD333CA8C04E7580A920E7F83EACAB.jpg,合资,北京-海淀区,本科,15K-28K,"['周末双休', '五险一金', '补充医疗保险', '定期体检', '员工旅游']",2,['周末双休五险一金补充医疗保险定期体检员工旅游餐补带薪年假绩效奖金'],"工作职责：
1、负责反欺诈系统安全分析，结合业务场景，挖掘分析内部及网络行为异常，并实时输出给防控系统进行处置；
2、负责数据关联算法研究及数学模型建立，基于部门大量网络安全威胁信息，通过数据挖掘、数据建模、机器学习训练，从异常行为的角度识别内部威胁和网络威胁；
3、参与网络安全大数据分析系统规划建设和维护，通过各业务系统日志分析等工作，实现对安全威胁的感知、告警、分析和定位；
4、负责基础数据和算法的研究和优化，实时跟踪互联网领域相关推荐或者机器学习算法在网络安全领域的发展趋势和应用情况；
5、负责收集网络空间威胁情报，进行威胁情报研判、分析、统计和关联，形成相关研究报告。
任职资格：
1、计算机、统计学、数学等相关专业毕业，本科5年以上工作经验；硕士3年以上经验；
2、有两年以上互联网安全大数据相关项目开发经验，精通python/Scala/JAVA开发语言；
3、熟悉Linux系统环境，熟悉MySql数据库和SQL语言；
4、熟悉主流的Hadoop/Spark等开源大数据和实时数据分析架构和应用解决方案，具有安全领域大数据平台建设经验背景优先；
5、熟悉数据分析建模技术，及常用数据算法和建模，如：决策树、聚类、逻辑回归、关联分析、SVM、神经网络等；
6、对恶意程序、恶意IP、恶意域名、安全漏洞等常见网络威胁数据有所研究；
7、熟悉爬虫技术，有大规模爬虫经验，可以对网站和APP内容进行分析识别；
8、了解常见的网络安全和系统安全攻防原理，具有一定安全威胁分析经验；
9、有良好的数据分析和归纳总结能力，较好的沟通能力和较强的学习、创新能力。",['']

CC120155269J90260606000,销售经理（政府大数据）,同方股份有限公司,http://special.zhaopin.com/2017/bj/tfgf051923,http://images.zhaopin.com/logos/qhtfgf.gif,上市公司,北京,本科,10K-15K,"['五险一金', '交通补助', '餐补', '采暖补贴', '带薪年假']",,[''],,['']

CC496535480J00145670009,算法工程师（控制算法 非图像、大数据方向）,山东超景深信息科技有限公司,https://company.zhaopin.com/CZ496535480.htm,https://fileihr.zhaopin.com/049/653/049653548/logo/6ac3c7e3-65b3-4898-ad23-8e803a6f6cf0.png,民营,济南,本科,12K-15K,"['五险一金', '员工旅游', '带薪年假', '创业公司', '每年多次调薪']",,[''],,['']

CC137478974J00349500703,大数据开发工程师,大汉控股集团有限公司,https://special.zhaopin.com/pagepublish/13747897/index.html,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,长沙,本科,15K-30K,"['五险一金', '交通补助', '餐补', '房补', '通讯补助']",,[''],,['']

CC875193170J00172572713,ETL大数据分析+免费住宿五险一金 ,青岛乾璟昶盛信息服务有限公司,https://company.zhaopin.com/CZ875193170.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/80ba1fb552e644eefc9af3e85f4f18b5.jpg,民营,青岛,大专,6K-8K,"['五险一金', '全勤奖', '包住', '绩效奖金', '节日福利']",,[''],,['']

CC313716339J00268052702,大数据开发工程师,北京建飞无限科技有限公司成都分公司,https://company.zhaopin.com/CZ313716330.htm,http://company.zhaopin.com/CompanyLogo/20170328/277AD74567C7418DAE6C5DCFDB4180B3.gif,民营,成都,本科,10K-18K,"['创业公司', '每年多次调薪', '周末双休', '五险一金', '年底双薪']",,[''],,['']

CC538257525J00156887710,大数据开发工程师,北京同城翼龙网络科技有限公司,http://special.zhaopin.com/pagepublish/53825752/index.html,http://company.zhaopin.com/CompanyLogo/20150402/6E231E18DC3A415AB383DCFC0EE0E0BD.jpg,民营,北京,本科,20K-28K,"['节日福利', '五险一金', '绩效奖金', '带薪年假', '定期体检']",,[''],,['']

CC532342133J90250062000,大数据讲师 java 双休 五险 上市公司,北京华育兴业科技有限公司哈尔滨分公司,https://company.zhaopin.com/CZ532342130.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,哈尔滨,大专,8K-10K,"['五险一金', '年底双薪', '绩效奖金', '年终分红', '餐补']",,[''],,['']

CC537058027J00347135903,大数据技术专家（大数据部）,艾睦奇企业管理咨询(上海)有限公司,https://company.zhaopin.com/CZ537058020.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,股份制企业,上海,本科,50K-70K,"['五险一金', '绩效奖金', '年底双薪', '带薪年假', '免费停车']",,[''],,['']

CC422294580J00082213114,大数据工程师,烟台星商电子商务有限公司,https://company.zhaopin.com/CZ422294580.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/66f27144ec16fe58ff87a861ce929070.png,民营,烟台,本科,5K-8K,"['五险一金', '全勤奖', '餐补', '带薪年假', '节日福利']",,[''],,['']

CC000201465J00352187303,大数据应用,广汽本田汽车有限公司,https://company.zhaopin.com/CZ000201460.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,合资,广州,本科,10K-15K,[],,[''],,['']

CC532342133J00031107513,大数据 双休 五险 上市,北京华育兴业科技有限公司哈尔滨分公司,https://company.zhaopin.com/CZ532342130.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,哈尔滨,大专,10K-15K,"['五险一金', '绩效奖金', '餐补', '交通补助', '节日福利']",,[''],,['']

CC860845900J00366513807,大数据开发工程师,广州聚合众供应链有限公司,https://company.zhaopin.com/CZ860845900.htm,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,民营,广州-天河区,学历不限,20K-30K,"['五险一金', '绩效奖金', '员工旅游', '不加班', '周末双休']",,[''],,['']

CC120747254J00147399414,大数据服务产品线-Java工程师,北京思特奇信息技术股份有限公司,https://company.zhaopin.com/CZ120747250.htm,http://company.zhaopin.com/CompanyLogo/20121102/6A60FB9C170E499DA7D203A319C8B36E.gif,上市公司,合肥-政务文化新区,本科,7K-10K,"['五险一金', '绩效奖金', '加班补助', '餐补', '带薪年假']",,[''],,['']

CC875193170J00172560613,产品助理（展览展示可视化/大数据）,青岛乾璟昶盛信息服务有限公司,https://company.zhaopin.com/CZ875193170.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/80ba1fb552e644eefc9af3e85f4f18b5.jpg,民营,青岛,大专,4K-6K,"['五险一金', '全勤奖', '包住', '绩效奖金', '节日福利']",,[''],,['']

CC280555037J00294589908,大数据建模工程师,重庆中科云从科技有限公司,https://company.zhaopin.com/CZ280555030.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/2820d6759480117caaf2802ecebf87ee.png,民营,北京,本科,25K-35K,"['五险一金', '绩效奖金', '弹性工作', '带薪年假']",,[''],,['']

CC218321018J00146472013,大数据解决方案专家,海关信息中心下属北京中海通科技有限公司,http://special.zhaopin.com/bj/2015/bjzhkj031921/,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,国企,北京,本科,15K-30K,"['五险一金', '交通补助', '餐补', '通讯补助', '带薪年假']",,[''],,['']

CC839341180J00290136707,产品经理（大数据）,东莞市彩洋信息科技有限公司,https://company.zhaopin.com/CZ839341180.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/4e515d5cf45ca9b15f537a1ba43c2f64.png,民营,东莞,本科,10K-15K,"['五险一金', '绩效奖金', '全勤奖', '带薪年假', '员工旅游']",,[''],,['']

CC875193170J00172546913,ETL大数据分析实习生,青岛乾璟昶盛信息服务有限公司,https://company.zhaopin.com/CZ875193170.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/80ba1fb552e644eefc9af3e85f4f18b5.jpg,民营,青岛,大专,6K-8K,"['五险一金', '全勤奖', '包住', '绩效奖金', '节日福利']",,[''],,['']

CC251266619J00120601109,大数据平台架构师SSJ01,中国信息通信研究院,https://company.zhaopin.com/CZ251266610.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/c5912378fc8fa11b11ede97c136f7677.jpg,事业单位,北京-海淀区,硕士,18K-20K,"['五险一金', '补充医疗保险', '年终分红', '房补', '餐补']",,[''],,['']

CC251266619J00117031009,大数据架构师SXG01,中国信息通信研究院,https://company.zhaopin.com/CZ251266610.htm,https://zhaopin-rd5-pub.oss-cn-beijing.aliyuncs.com/imgs/company/c5912378fc8fa11b11ede97c136f7677.jpg,事业单位,北京-海淀区,本科,12K-14K,"['五险一金', '补充医疗保险', '年终分红', '房补', '餐补']",,[''],,['']

